Source,Target,Weight
icyJoseph,artemzhdev,2.0
icyJoseph,maxscn,2.0
icyJoseph,Musar98,2.0
icyJoseph,rindev0901,2.0
icyJoseph,jonahallibone,4.0
icyJoseph,MartinCura,2.0
icyJoseph,madatbay,4.0
icyJoseph,albertocubeddu,6.0
icyJoseph,chriskrogh,2.0
icyJoseph,Ssword-dev,6.0
icyJoseph,austingayler,2.0
icyJoseph,md186,6.0
icyJoseph,gaearon,17.0
icyJoseph,delasy,4.0
icyJoseph,Exzort567,2.0
icyJoseph,SorooshGb,2.0
icyJoseph,jsdev-robin,4.0
icyJoseph,2u841r,2.0
icyJoseph,that-one-arab,23.0
icyJoseph,yerayvillamarin,6.0
icyJoseph,nmoreaud,2.0
icyJoseph,zaki-yama,2.0
icyJoseph,bennajah,2.0
icyJoseph,arfa123,2.0
icyJoseph,willardcsoriano,2.0
icyJoseph,muhammadsyaddad,8.0
icyJoseph,eps1lon,28.0
icyJoseph,danpeleg4,13.0
icyJoseph,zhiyanzhaijie,13.0
icyJoseph,bgw,8.0
icyJoseph,jokokoloko,17.0
icyJoseph,KaziMahbuburRahman,29.0
icyJoseph,hamidreza-nateghi,13.0
icyJoseph,sovetski,4.0
icyJoseph,sequencerr,13.0
icyJoseph,timneutkens,20.0
icyJoseph,timeyoutakeit,13.0
icyJoseph,Strernd,13.0
icyJoseph,H01001000,13.0
icyJoseph,georgesfarah,13.0
icyJoseph,officialrajdeepsingh,4.0
icyJoseph,allenzhou101,5.0
rafael-tanaka,artemzhdev,2.0
alexfarrill,artemzhdev,2.0
github-actions[bot],01026551290,8.0
github-actions[bot],fecommunity,2.0
github-actions[bot],epaynter,2.0
github-actions[bot],dandaniel5,2.0
github-actions[bot],agadzik,2.0
github-actions[bot],Typhon0130,4.0
github-actions[bot],ryota-murakami,4.0
github-actions[bot],ehsanghaffar,2.0
github-actions[bot],funnelfiasco,2.0
github-actions[bot],rRakarare,2.0
github-actions[bot],AryanVBW,2.0
github-actions[bot],sciensito,2.0
github-actions[bot],sgb-io,2.0
github-actions[bot],Code-Divine,2.0
github-actions[bot],fadhilthomas,2.0
github-actions[bot],LDami,2.0
github-actions[bot],l0gicgate,2.0
github-actions[bot],debug-loop,2.0
github-actions[bot],camwest,2.0
github-actions[bot],shadone,2.0
github-actions[bot],avantalliance,2.0
github-actions[bot],umang0620,2.0
github-actions[bot],besh,2.0
github-actions[bot],vanruch,2.0
github-actions[bot],briteming,2.0
github-actions[bot],cruzz77,2.0
github-actions[bot],thernstig,2.0
github-actions[bot],yerayvillamarin,2.0
github-actions[bot],arvinxx,2.0
github-actions[bot],zhiyanzhaijie,4.0
github-actions[bot],thekpsgroup,2.0
github-actions[bot],amoore108,2.0
github-actions[bot],DanhezCode,2.0
github-actions[bot],nooraldarraji,2.0
github-actions[bot],bennajah,4.0
github-actions[bot],CYriuk,2.0
github-actions[bot],mohammed5920,2.0
github-actions[bot],mrbadri,2.0
github-actions[bot],AlexeyLoktev,2.0
github-actions[bot],nexxss-dev,4.0
github-actions[bot],willardcsoriano,6.0
github-actions[bot],mubarek57,2.0
Ochirsaikhan,shiqocred,2.0
Linuhusainnk,shiqocred,2.0
pmk1c,gaearon,2.0
unstubbable,gaearon,8.0
unstubbable,icyJoseph,8.0
unstubbable,huozhi,8.0
unstubbable,eps1lon,64.0
unstubbable,lubieowoce,36.0
unstubbable,mischnic,8.0
unstubbable,ztanner,8.0
unstubbable,nextjs-bot,13.0
aymericzip,maxscn,2.0
adamsoderstrom,maxscn,2.0
catosaurusrex2003,Haaxor1689,6.0
CosAnca,Haaxor1689,4.0
mischnic,Haaxor1689,4.0
mischnic,bgub,2.0
mischnic,sgb-io,2.0
mischnic,matowang,2.0
mischnic,Dendekky,2.0
mischnic,aulonm,2.0
mischnic,karlhorky,6.0
mischnic,Caesar-APAX,2.0
mischnic,nmoreaud,2.0
mischnic,bgw,88.0
mischnic,unstubbable,132.0
mischnic,sokra,319.0
mischnic,eps1lon,16.0
mischnic,lukesandberg,88.0
mischnic,huozhi,21.0
mischnic,pyrytakala,13.0
mischnic,kdy1,21.0
mischnic,vercel-release-bot,13.0
mischnic,devjiwonchoi,20.0
mischnic,shuding,8.0
kkoudelka,Haaxor1689,2.0
DeveloperViraj,Musar98,2.0
DeveloperViraj,zaki-yama,4.0
Typhon0130,Musar98,4.0
Typhon0130,github-actions[bot],6.0
ranjith-devop,Musar98,2.0
baginskijakub,franknoel,2.0
Bewenben,emadurandal,2.0
azadgupta1,rindev0901,2.0
bgw,bgub,4.0
bgw,ijjk,8.0
bgw,vercel-release-bot,236.0
bgw,mischnic,64.0
bgw,lukesandberg,28.0
bgw,sokra,56.0
bgw,xusd320,13.0
bgw,wbinnssmith,8.0
brunorzn,gaearon,10.0
samselikoff,gaearon,10.0
samselikoff,icyJoseph,28.0
nianiam,gaearon,2.0
julianobrasil,Verge-One,2.0
julianobrasil,bmamone,2.0
arunanshub,gaearon,4.0
Kvintus,delasy,2.0
rosbitskyy,IskanderMustafin,2.0
rosbitskyy,Unit2795,2.0
rosbitskyy,damianfrizzi,2.0
rosbitskyy,erickborquez,2.0
rosbitskyy,branderzhai,2.0
rosbitskyy,remi-k-work,2.0
rosbitskyy,mburumaxwell,2.0
rosbitskyy,w7rus,2.0
rosbitskyy,karlhorky,2.0
rosbitskyy,thernstig,2.0
rosbitskyy,devinatbryt,2.0
rosbitskyy,Caesar-APAX,2.0
rosbitskyy,amoore108,2.0
rosbitskyy,samtbg,2.0
rosbitskyy,Heet-Bhalodiya,4.0
alexdln,gaearon,4.0
lubieowoce,gaearon,4.0
lubieowoce,unstubbable,44.0
stefanprobst,Unit2795,2.0
parthikjadav,damianfrizzi,2.0
kangw3n,damianfrizzi,2.0
Chibuike-web,SorooshGb,4.0
mdj-uk,SorooshGb,2.0
gghdev,SorooshGb,2.0
Alexandredc,SorooshGb,2.0
Adarsh-code169,y-hsgw,2.0
timneutkens,Samael-TLB,2.0
timneutkens,mischnic,124.0
timneutkens,devjiwonchoi,16.0
timneutkens,eps1lon,8.0
timneutkens,wbinnssmith,4.0
timneutkens,unstubbable,13.0
timneutkens,bgw,13.0
cbratschi,besh,2.0
cbratschi,w7rus,2.0
omermizr,frederikprijck,2.0
sarushili0430,blairmcalpine,2.0
ahmed-rafiullah,SashaPolyanski,2.0
przemyslawzalewski,aulonm,2.0
Ronak501,jsdev-robin,2.0
Ronak501,yerayvillamarin,2.0
tats-u,karlhorky,6.0
DennysDionigi,karlhorky,2.0
Rezakarimzadeh98,karlhorky,2.0
Rezakarimzadeh98,AaryanBansal-dev,8.0
Rezakarimzadeh98,unstubbable,8.0
dzienisz,gabrielmfern,2.0
maltekuehl,khuezy,6.0
Q0,khuezy,2.0
rindev0901,khuezy,2.0
rindev0901,azadgupta1,3.0
rindev0901,icyJoseph,3.0
remi-k-work,khuezy,4.0
remi-k-work,rosbitskyy,3.0
Nick98-1,nmoreaud,2.0
Nick98-1,amoore108,2.0
gaojude,nooraldarraji,2.0
gaojude,mischnic,8.0
gaojude,acdlite,8.0
gaojude,huozhi,16.0
No738,ottetz,2.0
Debbl,bennajah,2.0
nooraldarraji,bmamone,2.0
nooraldarraji,gaojude,3.0
nooraldarraji,github-actions[bot],3.0
ZhYGuoL,willardcsoriano,2.0
RJWadley,willardcsoriano,2.0
saoudi-h,willardcsoriano,2.0
KirtiGautam620,faridvatani,2.0
ragavveer,faridvatani,2.0
artemzhdev,icyJoseph,3.0
artemzhdev,rafael-tanaka,3.0
artemzhdev,alexfarrill,3.0
01026551290,github-actions[bot],12.0
shiqocred,Ochirsaikhan,3.0
shiqocred,Linuhusainnk,3.0
fecommunity,github-actions[bot],3.0
gaearon,pmk1c,3.0
gaearon,unstubbable,12.0
gaearon,brunorzn,15.0
gaearon,samselikoff,15.0
gaearon,nianiam,3.0
gaearon,arunanshub,6.0
gaearon,icyJoseph,6.0
gaearon,alexdln,6.0
gaearon,lubieowoce,6.0
epaynter,github-actions[bot],3.0
dandaniel5,github-actions[bot],3.0
agadzik,github-actions[bot],3.0
maxscn,icyJoseph,3.0
maxscn,aymericzip,3.0
maxscn,adamsoderstrom,3.0
ryota-murakami,github-actions[bot],6.0
Haaxor1689,catosaurusrex2003,9.0
Haaxor1689,CosAnca,6.0
Haaxor1689,mischnic,6.0
Haaxor1689,kkoudelka,3.0
Musar98,DeveloperViraj,3.0
Musar98,Typhon0130,6.0
Musar98,ranjith-devop,3.0
Musar98,icyJoseph,3.0
ehsanghaffar,github-actions[bot],3.0
franknoel,baginskijakub,3.0
funnelfiasco,github-actions[bot],3.0
emadurandal,Bewenben,3.0
rRakarare,github-actions[bot],3.0
jonahallibone,icyJoseph,6.0
AryanVBW,github-actions[bot],3.0
bgub,bgw,6.0
bgub,mischnic,3.0
MartinCura,icyJoseph,3.0
sciensito,github-actions[bot],3.0
madatbay,icyJoseph,6.0
sgb-io,github-actions[bot],3.0
sgb-io,mischnic,3.0
albertocubeddu,icyJoseph,9.0
chriskrogh,icyJoseph,3.0
Ssword-dev,icyJoseph,9.0
austingayler,icyJoseph,3.0
matowang,mischnic,3.0
Code-Divine,github-actions[bot],3.0
Verge-One,julianobrasil,3.0
md186,icyJoseph,9.0
fadhilthomas,github-actions[bot],3.0
delasy,icyJoseph,6.0
delasy,Kvintus,3.0
Exzort567,icyJoseph,3.0
IskanderMustafin,rosbitskyy,3.0
Unit2795,rosbitskyy,3.0
Unit2795,stefanprobst,3.0
LDami,github-actions[bot],3.0
l0gicgate,github-actions[bot],3.0
damianfrizzi,parthikjadav,3.0
damianfrizzi,rosbitskyy,3.0
damianfrizzi,kangw3n,3.0
erickborquez,rosbitskyy,3.0
debug-loop,github-actions[bot],3.0
camwest,github-actions[bot],3.0
SorooshGb,Chibuike-web,6.0
SorooshGb,mdj-uk,3.0
SorooshGb,icyJoseph,3.0
SorooshGb,gghdev,3.0
SorooshGb,Alexandredc,3.0
shadone,github-actions[bot],3.0
branderzhai,rosbitskyy,3.0
avantalliance,github-actions[bot],3.0
umang0620,github-actions[bot],3.0
y-hsgw,Adarsh-code169,3.0
Samael-TLB,timneutkens,3.0
Dendekky,mischnic,3.0
besh,cbratschi,3.0
besh,github-actions[bot],3.0
frederikprijck,omermizr,3.0
blairmcalpine,sarushili0430,3.0
vanruch,github-actions[bot],3.0
SashaPolyanski,ahmed-rafiullah,3.0
aulonm,przemyslawzalewski,3.0
aulonm,mischnic,3.0
briteming,github-actions[bot],3.0
jsdev-robin,icyJoseph,6.0
jsdev-robin,Ronak501,3.0
2u841r,icyJoseph,3.0
mburumaxwell,rosbitskyy,3.0
w7rus,cbratschi,3.0
w7rus,rosbitskyy,3.0
cruzz77,github-actions[bot],3.0
karlhorky,tats-u,9.0
karlhorky,mischnic,9.0
karlhorky,DennysDionigi,3.0
karlhorky,Rezakarimzadeh98,3.0
karlhorky,rosbitskyy,3.0
that-one-arab,icyJoseph,9.0
gabrielmfern,dzienisz,3.0
thernstig,rosbitskyy,3.0
thernstig,github-actions[bot],3.0
thernstig,icyJoseph,4.0
yerayvillamarin,icyJoseph,9.0
yerayvillamarin,Ronak501,3.0
yerayvillamarin,github-actions[bot],3.0
arvinxx,github-actions[bot],3.0
zhiyanzhaijie,github-actions[bot],6.0
devinatbryt,rosbitskyy,3.0
Caesar-APAX,mischnic,3.0
Caesar-APAX,rosbitskyy,3.0
khuezy,maltekuehl,9.0
khuezy,Q0,3.0
khuezy,rindev0901,3.0
khuezy,remi-k-work,6.0
thekpsgroup,github-actions[bot],3.0
nmoreaud,icyJoseph,3.0
nmoreaud,Nick98-1,3.0
nmoreaud,mischnic,3.0
amoore108,Nick98-1,3.0
amoore108,rosbitskyy,3.0
amoore108,github-actions[bot],3.0
samtbg,rosbitskyy,3.0
Heet-Bhalodiya,rosbitskyy,6.0
zaki-yama,DeveloperViraj,6.0
zaki-yama,icyJoseph,3.0
DanhezCode,github-actions[bot],3.0
ottetz,No738,3.0
bennajah,icyJoseph,3.0
bennajah,Debbl,3.0
bennajah,github-actions[bot],6.0
bmamone,nooraldarraji,3.0
bmamone,julianobrasil,3.0
CYriuk,github-actions[bot],3.0
mohammed5920,github-actions[bot],3.0
mrbadri,github-actions[bot],3.0
AlexeyLoktev,github-actions[bot],3.0
arfa123,icyJoseph,3.0
nexxss-dev,github-actions[bot],6.0
willardcsoriano,ZhYGuoL,3.0
willardcsoriano,RJWadley,3.0
willardcsoriano,icyJoseph,3.0
willardcsoriano,github-actions[bot],9.0
willardcsoriano,saoudi-h,3.0
mubarek57,github-actions[bot],3.0
faridvatani,KirtiGautam620,3.0
faridvatani,ragavveer,3.0
copilot-pull-request-reviewer[bot],muhammadsyaddad,4.0
copilot-pull-request-reviewer[bot],Lokeninfinitypoint,4.0
copilot-pull-request-reviewer[bot],Rezakarimzadeh98,28.0
