Source,Target,Weight
unstubbable,icyJoseph,2
unstubbable,huozhi,2
unstubbable,eps1lon,16
unstubbable,lubieowoce,9
unstubbable,mischnic,2
unstubbable,ztanner,2
unstubbable,nextjs-bot,3
copilot-pull-request-reviewer[bot],muhammadsyaddad,1
copilot-pull-request-reviewer[bot],Lokeninfinitypoint,1
copilot-pull-request-reviewer[bot],Rezakarimzadeh98,7
copilot-pull-request-reviewer[bot],dofaromg,1
copilot-pull-request-reviewer[bot],huozhi,1
icyJoseph,muhammadsyaddad,2
icyJoseph,eps1lon,7
icyJoseph,gaearon,3
icyJoseph,danpeleg4,3
icyJoseph,that-one-arab,4
icyJoseph,zhiyanzhaijie,3
icyJoseph,bgw,2
icyJoseph,jokokoloko,4
icyJoseph,KaziMahbuburRahman,7
icyJoseph,hamidreza-nateghi,3
icyJoseph,sovetski,1
icyJoseph,sequencerr,3
icyJoseph,timneutkens,5
icyJoseph,timeyoutakeit,3
icyJoseph,Strernd,3
icyJoseph,H01001000,3
icyJoseph,georgesfarah,3
icyJoseph,officialrajdeepsingh,1
icyJoseph,allenzhou101,1
bgw,ijjk,2
bgw,vercel-release-bot,56
bgw,mischnic,16
bgw,lukesandberg,7
bgw,sokra,14
bgw,xusd320,3
bgw,wbinnssmith,2
mischnic,bgw,21
mischnic,unstubbable,33
mischnic,sokra,79
mischnic,eps1lon,4
mischnic,lukesandberg,22
mischnic,huozhi,5
mischnic,pyrytakala,3
mischnic,kdy1,5
mischnic,vercel-release-bot,3
mischnic,devjiwonchoi,5
mischnic,shuding,2
timneutkens,mischnic,31
timneutkens,devjiwonchoi,4
timneutkens,eps1lon,2
timneutkens,wbinnssmith,1
timneutkens,unstubbable,3
timneutkens,bgw,3
chatgpt-codex-connector[bot],Lokeninfinitypoint,1
chatgpt-codex-connector[bot],dofaromg,2
vercel[bot],mischnic,34
vercel[bot],nextjs-bot,2
vercel[bot],ztanner,2
vercel[bot],kostyniuk,1
vercel[bot],sokra,28
vercel[bot],huozhi,11
vercel[bot],acdlite,7
vercel[bot],lukesandberg,19
vercel[bot],devjiwonchoi,2
vercel[bot],rosbitskyy,1
vercel[bot],eps1lon,21
vercel[bot],greenlynx,1
vercel[bot],rajnish93,1
vercel[bot],bgw,5
vercel[bot],1sahilsanjeev,2
vercel[bot],lubieowoce,7
vercel[bot],kt3k,1
vercel[bot],unstubbable,6
vercel[bot],vanruch,1
vercel[bot],RobPruzan,1
vercel[bot],DeveloperViraj,1
vercel[bot],haydenbleasel,4
vercel[bot],Rezakarimzadeh98,11
vercel[bot],ijjk,5
vercel[bot],icyJoseph,5
vercel[bot],CosmicJesterX,1
vercel[bot],xusd320,9
vercel[bot],jokokoloko,1
vercel[bot],SyMind,1
vercel[bot],dofaromg,3
vercel[bot],wbinnssmith,11
vercel[bot],H01001000,2
vercel[bot],mrjatinduggal,2
vercel[bot],madeByIgor,1
vercel[bot],circhacks,1
vercel[bot],ishimwereponse223-bot,1
